Categories,Final_Category
TYRE_135/70/R12,TYRE
REAR AXLE BEAM,OTHERS
INTERCOOLER,OTHERS
INNER DOOR HANDLE LHS (FRONT/REAR),DOOR HANDLE
TYRE_205/45/R17,TYRE
REAR FENDER LINING LHS,REAR FENDER
OIL SUMP DRAIN PLUG,OTHERS
RADIATOR FAN SHROUD,RADIATOR
FRONT BUMPER BRACKET RHS OUTER,BUMPER
TYRE_205/50/R16,TYRE
FRONT DRIVE SHAFT SEAL (LHS/RHS),SEAL
FRONT LINK ROD SET,LINK ROD
HVAC OUTLET HOSE,OTHERS
EXHAUST MANIFOLD,EXHAUST MANIFOLD
BATTERY_85AH_RIGHT,BATTERY
CYLINDER HEAD GASKET,GASKET
WIPER COMBINATION SWITCH,SWITCH
AC DIRECTION FLAP MOTOR,OTHERS
FRONT FOG LAMP COVER LHS,FOG LAMP
V BELT,V BELT
TYRE_225/55/R17,TYRE
BATTERY_100AH_LEFT,BATTERY
AIR FILTER HOUSING HOLDER,AIR FILTER
BONNET STAY ROD HOLDER,OTHERS
INTAKE MANIFOLD,INTAKE MANIFOLD
FRONT WINDOW REGULATOR LHS,WINDOW REGULATOR
REAR SHOCKER LHS,SHOCK ABSORBER
HIGH MOUNT STOP LIGHT,OTHERS
DICKEY DOOR HANDLE,DOOR HANDLE
OUTER DOOR HANDLE RHS (FRONT/REAR),DOOR HANDLE
REAR POWER WINDOW MOTOR RHS,OTHERS
REAR SHOCKER SET,SHOCK ABSORBER
AC FILTER HOLDER,AC FILTER
TYRE_295/40/R20,TYRE
TYRE_205/65/R15,TYRE
REAR SEAT BELT,SEAT BELT
COWL TOP CORNER LHS,COWL TOP
FRONT BUMPER LOWER,BUMPER
FUEL INJECTOR SEAL,FUEL INJECTOR
TYRE_155/65/R12,TYRE
HORN PAD,HORN
TIE ROD END RHS,TIE ROD
FRONT BUMPER CLADDING,BUMPER
BATTERY_90AH_RIGHT,BATTERY
FRONT WIPER LINKAGE ASSY,FRONT WIPER
THERMOSTAT,THERMOSTAT
FRONT BUMPER GRILL,BUMPER
COWL TOP PANEL,COWL TOP
RADIATOR FAN,RADIATOR
BATTERY_85AH_LEFT,BATTERY
FRONT DOOR PANEL LHS,FRONT DOOR
POWER STEERING PUMP,POWER STEERING
BONNET BUMP STOP,OTHERS
FUEL LID CABLE,FUEL LID
REAR WIPER MOTOR,WIPER MOTOR
INNER TIE ROD,TIE ROD
TYRE_155/R13LT89/88S,TYRE
FRONT FENDER CLADDING LHS,FRONT FENDER
REAR SHOCKER BUMP STOP,SHOCK ABSORBER
FRONT DOOR WEATHERSTRIP RHS (DOOR SIDE),WEATHERSTRIP
BATTERY_55AH_RIGHT,BATTERY
ENGINE OIL FILLER CAP,ENGINE OIL
WHEEL STUD,WHEEL STUD
FRONT SHOCKER BUMP STOP,SHOCK ABSORBER
REAR SHOCKER BUSH KIT,SHOCK ABSORBER
HAND BRAKE CABLE,HAND BRAKE
FRONT SEAT BELT BUCKLE RHS,SEAT BELT
SVM COVER LHS,MIRROR
SUN VISOR HOLDER (LHS/RHS),SUN VISOR
CAR KEY HOUSING,CAR KEY
DICKEY DOOR PANEL,DICKEY DOOR
FRONT KNUCKLE LHS,FRONT KNUCKLE
AC VENT (LHS/RHS),AC VENT
BATTERY_68AH_BH_LEFT,BATTERY
SVM HOUSING RHS,MIRROR
OIL FILTER ASSY,OIL FILTER
BONNET LATCH CABLE,OTHERS
FRONT LOWER CONTROL ARM BUSH (G),CONTROL ARM
PARCEL TRAY,OTHERS
OIL DIPSTICK,OTHERS
BLACK SEALENT,SEAL
TYRE_265/65/R17,TYRE
FRONT DOOR PANEL RHS,FRONT DOOR
STEERING COLUMN ASSY,STEERING COLUMN
ROOF LINING,OTHERS
REAR DRUM BRAKE,OTHERS
TYRE_145/60/R20,TYRE
TYRE_215/55/R16,TYRE
FRONT INNER DOOR HANDLE RHS,DOOR HANDLE
FRONT BUMPER SKID PLATE,BUMPER
REAR SHOCKER RHS,SHOCK ABSORBER
TIE ROD END LHS,TIE ROD
REAR POWER WINDOW MOTOR LHS,OTHERS
BATTERY_60AH_RIGHT,BATTERY
FENDER PANEL RHS,OTHERS
CAR KEY REMOTE,CAR KEY
FUEL TANK,FUEL TANK
THROTTLE BODY,THROTTLE BODY
TYRE_225/65/R17,TYRE
RADIATOR INLET HOSE,RADIATOR
BRAKE MASTER CYLINDER TANK CAP,BRAKE MASTER CYLINDER
INPUT SHAFT SEAL,SEAL
ENGINE MOUNTING D,ENGINE MOUNTING
SVM HOUSING LHS,MIRROR
SVM MIRROR LHS,MIRROR
REAR WHEEL BRAKE CYLINDER RHS,REAR WHEEL
GEAR SHIFT CABLE BUSH,BUSH KIT
FUEL FILLER CAP,FUEL FILLER
TYRE _235/55/R18,TYRE
MONOGRAM REAR (FORD),MONOGRAM
BONNET PANEL,OTHERS
REAR WINDOW REGULATOR LHS,WINDOW REGULATOR
TYRE_235/55/R19,TYRE
COMBINATION SWITCH ASSY,SWITCH
FRONT TOW HOOK COVER,OTHERS
SPEAKER 4 INCH,OTHERS
AC VENT (CENTER / LHS / RHS),AC VENT
TYRE_255/55/R19,TYRE
BATTERY,BATTERY
STEERING RACK BOOT (LHS/RHS),STEERING RACK
TYRE_155/70/R14,TYRE
ALTERNATOR V BELT,ALTERNATOR
FLOOR MAT SET,OTHERS
FUEL RAIL,OTHERS
FRONT NUMBER PLATE,NUMBER PLATE
PCV VALVE,OTHERS
BRAKE BOOSTER ASSY,OTHERS
FRONT STABILIZER BUSH,BUSH KIT
FRONT OUTER DOOR HANDLE CAP RHS,DOOR HANDLE
SPEAKER 6 INCH,OTHERS
REAR SEAT BELT LHS,SEAT BELT
FRONT WHEEL HUB LHS,WHEEL HUB
FRONT FENDER CLADDING RHS,FRONT FENDER
SUN VISOR LHS,SUN VISOR
STEERING WHEEL SWITCH,SWITCH
FRONT WIPER BLADE RHS,WIPER BLADE
PISTON RING SET,OTHERS
OIL SUMP GASKET,GASKET
DOOR CLADDING SET,DOOR CLADDING
CRUISE CONTROL SWITCH,SWITCH
RADIATOR OUTLET HOSE,RADIATOR
REAR FOG LAMP RHS,FOG LAMP
REVERSE PARKING CAMERA,OTHERS
AC COMPRESSOR PULLEY,COMPRESSOR
SILL TRIM RHS,OTHERS
TYRE_225/50/R18,TYRE
FRONT ABS SENSOR (LHS/RHS),BRAKE SENSOR
FRONT DRIVE SHAFT BOOT SET INNER,FRONT DRIVE
PARKING SENSOR (FRONT/REAR),SENSOR
PUSH START BUTTON,OTHERS
BRAKE BOOSTER,OTHERS
FRONT FOG LAMP SET,FOG LAMP
SUN VISOR RHS,SUN VISOR
FRONT DRIVE SHAFT BOOT SET OUTER,FRONT DRIVE
TYRE_215/50/R17,TYRE
COOLANT_BLUE,COOLANT
MONOGRAM (FORD),MONOGRAM
TIMING BELT,TIMING BELT
SILL TRIM LHS,OTHERS
GLASS SEALENT,GLASS
CRANKSHAFT PULLEY,PULLEY
OUTER DOOR HANDLE LHS (FRONT/REAR),DOOR HANDLE
FRONT SHOCKER ASSY (LHS/RHS),SHOCK ABSORBER
MONOGRAM (VW),MONOGRAM
REVERSE LIGHT SWITCH,SWITCH
FRONT WIPER ARM RHS,FRONT WIPER
TYRE_245/45/R17,TYRE
HEAD LIGHT DUST COVER,HEADLIGHT
FRONT LINK ROD LHS,LINK ROD
REAR SEAT BELT RHS,SEAT BELT
FRONT SHOCKER BUSH KIT,SHOCK ABSORBER
